                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20241009"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                     Teff                               luminosity                                   radius                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                           center_entropy                                  species                               average_h1                               average_h2                              average_he3                              average_he4                              average_li7                              average_be7                               average_b8                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                            total_mass_h1                           total_mass_he4                                 delta_nu                                   nu_max                          acoustic_cutoff                          acoustic_radius                                    tot_E                            rel_run_E_err                                rel_E_err                              num_retries                                num_iters 
                                      90                                      495                  5.3557141873680587E+002                  1.9506661729028623E+000                  1.0004446413508129E-002                  1.0004446413508129E-002                  2.5726728949074800E+003                  9.2289947213284318E-003                  4.8357207975922900E-001                  3.0693382539958316E+000                  1.3280228434759520E+001                 -8.4789683343921785E-002                  5.3178398937950631E+000                  1.8500119369965670E-005                  1.3214603338720650E+001                                       12                  7.0570000000000077E-001                  2.7809999999965427E-005                  3.4610000000051888E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  2.5655782402557351E-084                  1.0000000000000010E-099                  2.9880308009149325E-003                  8.7584490491778098E-004                  8.1317824244995732E-003                  1.8074638875443631E-003                  3.5344472101892736E-003                  7.0601378340126942E-003                  2.7702312119004036E-003                  3.8653958373439224E+001                  1.9724686890241111E+002                  3.1843790655944196E+002                  1.2935285829447450E+004                 -2.9434478564827140E+044                 -2.5554341126382901E-010                  2.9756509348931149E-013                                        0                                        2 
                                     100                                      495                  3.3161172577307475E+003                  2.7424786333791102E+000                  1.0004446413508129E-002                  1.0004446413508129E-002                  2.5734161653553265E+003                  9.1001442506656750E-003                  4.7990718236807717E-001                  3.0759461902653902E+000                  1.3291087968484355E+001                 -7.6694706066981547E-002                  5.3201171310173301E+000                  1.6319417507462842E-002                  1.3199572824697325E+001                                       12                  7.0570000000000077E-001                  2.7809999999782251E-005                  3.4610000000326706E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  2.8829449223044064E-084                  1.0000000000000010E-099                  2.9880308009149316E-003                  8.7584490491778098E-004                  8.1317824244995732E-003                  1.8074638875443620E-003                  3.5344472101892731E-003                  7.0601378340126942E-003                  2.7702312119004036E-003                  3.9106806919644846E+001                  2.0024207053842528E+002                  3.2333365102946817E+002                  1.2785497957615939E+004                 -2.9742029892572717E+044                 -2.5520369234141977E-010                 -1.9179685185010059E-013                                        0                                        2 
                                     110                                      495                  2.0532524203182296E+004                  3.5342910938553582E+000                  1.0004446413508129E-002                  1.0004446413508129E-002                  2.5772901974362776E+003                  8.3906300582461419E-003                  4.5943471102177819E-001                  3.1138130821974155E+000                  1.3353500329782179E+001                 -3.0175987726949523E-002                  5.3331303314084622E+000                  1.1128868622363329E-001                  1.3112206234496407E+001                                       12                  7.0569999999999966E-001                  2.7809999998486677E-005                  3.4610000002269963E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  1.0279167592873800E-083                  1.0000000000000012E-099                  2.9880308009149295E-003                  8.7584490491778055E-004                  8.1317824244995732E-003                  1.8074638875443612E-003                  3.5344472101892714E-003                  7.0601378340126829E-003                  2.7702312119004036E-003                  4.1811066582595330E+001                  2.1832102951548481E+002                  3.5293012367624385E+002                  1.1958556450892709E+004                 -3.1549405551506252E+044                 -2.4519493990760164E-010                  2.8050562595848385E-013                                        0                                        3 
                                     120                                      501                  1.2713197815019490E+005                  4.3261035543316062E+000                  1.0004446413508129E-002                  1.0004446413508129E-002                  2.5854123503222722E+003                  5.8278023321259786E-003                  3.8049234974400231E-001                  3.2775688313059499E+000                  1.3626034422137538E+001                  1.7289341166626035E-001                  5.3873156143290926E+000                  5.6231371604423019E-001                  1.2704304445652909E+001                                       12                  7.0569999999998567E-001                  2.7809999969765569E-005                  3.4610000045351569E-005                  2.7690000000000031E-001                  1.0771934046337804E-008                  8.5256970841511893E-080                  1.0000000000000012E-099                  2.9880308009149277E-003                  8.7584490491777957E-004                  8.1317824244995732E-003                  1.8074638875443599E-003                  3.5344472101892705E-003                  7.0601378340125432E-003                  2.7702312119004036E-003                  5.5936912497853889E+001                  3.1781037530620472E+002                  5.1716548630530338E+002                  8.9386413670790880E+003                 -4.0284775501434060E+044                 -1.9457245161020111E-010                  2.6098140140482139E-013                                        0                                        3 
                                     130                                      513                  7.0624177398135839E+005                  5.0161782053125572E+000                  1.0004446413508129E-002                  1.0004446413508129E-002                  2.4665688830285721E+003                  2.1731080683756944E-003                  2.5527443654838933E-001                  3.6242460371221723E+000                  1.4180678844711897E+001                  5.8477587380162366E-001                  5.4823542679255830E+000                  1.6701792665003752E+000                  1.1764815789916460E+001                                       12                  7.0569999999132860E-001                  2.7809982656543874E-005                  3.4610026015184123E-005                  2.7690000000000003E-001                  1.0771934046337802E-008                  5.5645137290556948E-073                  1.0000021064890161E-099                  2.9880308009149256E-003                  8.7584490491777935E-004                  8.1317824244995715E-003                  1.8074638875443584E-003                  3.5344472101892675E-003                  7.0601378339259337E-003                  2.7702312119004010E-003                  1.0428719983991478E+002                  7.2287559427467011E+002                  1.2184871647453101E+003                  4.7944522507797792E+003                 -6.2719822036229835E+044                 -1.2751582824889357E-010                  3.5142438380543060E-013                                        0                                        3 
                                     140                                      520                  3.2325820360031035E+006                  5.5828846902894416E+000                  1.0004446413508129E-002                  1.0004446389039631E-002                  2.0821376757812873E+003                  5.4080559106956341E-004                  1.7871247191392431E-001                  3.9339509658067580E+000                  1.4744329410818960E+001                  1.0113155666643519E+000                  5.5374942459464984E+000                  3.4655698764974288E+000                  1.0614406806227160E+001                                       12                  7.0569999820992502E-001                  2.7806419849608707E-005                  3.4615370225586882E-005                  2.7690000000000003E-001                  1.0771934046337802E-008                  9.4333756767257778E-069                  1.0000585217314364E-099                  2.9880308009149225E-003                  8.7584490491777881E-004                  8.1317824244995715E-003                  1.8074638875443577E-003                  3.5344472101892662E-003                  7.0601378161039771E-003                  2.7702312119004010E-003                  1.8562204160607075E+002                  1.6053154809882442E+003                  2.8741453747606906E+003                  2.6936456235143983E+003                 -9.2137318449994651E+044                 -8.8948841147618946E-011                  2.5521600834298017E-013                                        0                                        3 
                                     150                                      520                  1.2209207536515692E+007                  6.1391934217304192E+000                  1.0004446413508129E-002                  1.0004446379286285E-002                  1.6780350102677930E+003                  1.4763861750726170E-004                  1.4376431867227704E-001                  4.1229584687108822E+000                  1.5110883089146299E+001                  1.2890528555510803E+000                  5.5251910311190278E+000                  5.7100130099578932E+000                  9.7279961734928868E+000                                       12                  7.0569997670969398E-001                  2.7763419387215848E-005                  3.4679870919176882E-005                  2.7690000000000003E-001                  1.0771934046337802E-008                  1.2139474770878030E-068                  1.0000688030167043E-099                  2.9880308009149216E-003                  8.7584490491777870E-004                  8.1317824244995715E-003                  1.8074638875443562E-003                  3.5344472101892645E-003                  7.0601376010060680E-003                  2.7702312119004010E-003                  2.5589729758894111E+002                  2.7632622836896185E+003                  5.0636081010885191E+003                  1.9539088716879364E+003                 -1.1829007478247190E+045                 -7.1633124327260086E-011                  2.1700827141944955E-013                                        0                                        4 
                                     160                                      520                  3.1623368304229155E+007                  6.3774526473457449E+000                  1.0004446413508129E-002                  1.0004446318953093E-002                  1.2992253524068858E+003                  4.2005050537591129E-005                  1.2791896695625884E-001                  4.2243908026868420E+000                  1.5314688466255383E+001                  1.4423372355458810E+000                  5.4798540839754768E+000                  8.1251279565899424E+000                  9.1207417795206034E+000                                       12                  7.0569994839025885E-001                  2.7706780516570164E-005                  3.4764829225148908E-005                  2.7690000000000003E-001                  1.0771934046337802E-008                  1.1793789184338372E-070                  1.0000688030167047E-099                  2.9880308009149199E-003                  8.7584490491777849E-004                  8.1317824244995715E-003                  1.8074638875443551E-003                  3.5344472101892627E-003                  7.0601373176857963E-003                  2.7702312119004010E-003                  3.0410858730364794E+002                  3.9665479512503216E+003                  7.3533556644996625E+003                  1.6441495599752905E+003                 -1.3602494225829992E+045                 -6.8857646093012343E-011                 -1.8813238268841020E-013                                        0                                        3 
                                     170                                      540                  5.9237916412059173E+007                  6.6631918542532365E+000                  1.0004446413508129E-002                  1.0004446201312578E-002                  1.0249645505882288E+003                  1.4876850050574147E-005                  1.2231816673152203E-001                  4.2632787629178539E+000                  1.5393487437570789E+001                  1.5013888436495928E+000                  5.4488920423982750E+000                  9.5877162545674270E+000                  8.8435382389929362E+000                                       12                  7.0569993354544058E-001                  2.7677090880394057E-005                  3.4809363679413873E-005                  2.7690000000000003E-001                  1.0771934046337802E-008                  3.5363660703665753E-072                  1.0000689248172033E-099                  2.9880308009149182E-003                  8.7584490491777740E-004                  8.1317824244995715E-003                  1.8074638875443547E-003                  3.5344472101892614E-003                  7.0601371691716083E-003                  2.7702312119004010E-003                  3.2400522519946230E+002                  4.8841443363912122E+003                  9.0964768470817253E+003                  1.5431849893537760E+003                 -1.4354762276321544E+045                 -6.9002690750304071E-011                  1.5277407568164965E-013                                        0                                        3 
                                     180                                      557                  1.2945380193570016E+008                  6.9775358956711386E+000                  1.0004446413508129E-002                  1.0004446048791731E-002                  8.0761181139108658E+002                  5.3087761752494677E-006                  1.1769148554324943E-001                  4.2967706002672070E+000                  1.5461063930876241E+001                  1.5519330815476315E+000                  5.4131272962883550E+000                  1.1278531710710078E+001                  8.5768333491814008E+000                                       12                  7.0569991928038645E-001                  2.7648560771567416E-005                  3.4852158842653499E-005                  2.7690000000000003E-001                  1.0771934046337802E-008                  5.1562951090695976E-074                  1.0000689248172035E-099                  2.9880308009149164E-003                  8.7584490491777664E-004                  8.1317824244995715E-003                  1.8074638875443542E-003                  3.5344472101892588E-003                  7.0601370264576383E-003                  2.7702312119004010E-003                  3.4530304712784829E+002                  5.9433789082017074E+003                  1.1133971079343590E+004                  1.4480034397578752E+003                 -1.5029484315121040E+045                 -8.0356270484189551E-011                  2.3721820645269306E-012                                        0                                        3 
                                     190                                      557                  3.0904458048812747E+008                  7.4203701617542519E+000                  1.0004446413508129E-002                  1.0004445832855636E-002                  6.3605023462677173E+002                  1.9072013662289325E-006                  1.1372831407094511E-001                  4.3265234874015821E+000                  1.5520497368210970E+001                  1.5963658621703727E+000                  5.3715031628213392E+000                  1.3313516816589575E+001                  8.3101718497176513E+000                                       12                  7.0569990733165200E-001                  2.7624663304535265E-005                  3.4888005043193933E-005                  2.7690000000000003E-001                  1.0771934046337802E-008                  3.1352781220671999E-076                  1.0000689246420010E-099                  2.9880308009149156E-003                  8.7584490491777599E-004                  8.1317824244995715E-003                  1.8074638875443527E-003                  3.5344472101892571E-003                  7.0601369069171645E-003                  2.7702312119004010E-003                  3.7082535735345778E+002                  7.1720272043867271E+003                  1.3454308551190319E+004                  1.3483436072669040E+003                 -1.5649222739042249E+045                 -2.1624624012001874E-010                  2.5266381823790634E-011                                        0                                        3 
                                     200                                      557                  7.7009265398453081E+008                  7.8613272997367885E+000                  1.0004446413508129E-002                  1.0004445504154792E-002                  4.9940385962977962E+002                  6.8195817715979881E-007                  1.1031339295334799E-001                  4.3530042045419979E+000                  1.5572809522362283E+001                  1.6355287508189789E+000                  5.3240122423258684E+000                  1.5793329987681808E+001                  8.0405619958859891E+000                                       12                  7.0569989452843385E-001                  2.7599056868013107E-005                  3.4926414697971808E-005                  2.7690000000000003E-001                  1.0771934046337802E-008                  1.2577735557573653E-078                  1.0000689250033160E-099                  2.9880308009149138E-003                  8.7584490491777534E-004                  8.1317824244995715E-003                  1.8074638875443512E-003                  3.5344472101892566E-003                  7.0601367788280548E-003                  2.7702312119004010E-003                  3.9735893089305051E+002                  8.6028511120985349E+003                  1.6178086608084370E+004                  1.2583081972670584E+003                 -1.6217029553173709E+045                 -6.8091288307240448E-010                 -1.3550985907037358E-011                                        0                                        4 
                                     210                                      557                  2.1720480610366211E+009                  8.4274404265671325E+000                  1.0004446413508129E-002                  1.0004446402787125E-002                  4.0591736401566942E+002                  2.7945522864533703E-007                  1.0688924795148337E-001                  4.3803926467018259E+000                  1.5626052733912546E+001                  1.6753249901801448E+000                  5.2619538420095733E+000                  1.9388352946322239E+001                  7.7178687095017606E+000                                       12                  7.0569985772756227E-001                  2.7525455124602571E-005                  3.5036817313088717E-005                  2.7690000000000003E-001                  1.0771934046337802E-008                  1.0454602617859992E-078                  1.0000689250143607E-099                  2.9880308009149117E-003                  8.7584490491777523E-004                  8.1317824244995715E-003                  1.8074638875443510E-003                  3.5344472101892540E-003                  7.0601364106557072E-003                  2.7702312119004010E-003                  4.2633087897108118E+002                  1.0163375729473961E+004                  1.9097847345900496E+004                  1.1727979948501829E+003                 -1.6819312070546982E+045                 -8.6751963495997443E-010                 -6.3387006649569534E-012                                        0                                        5 
                                     220                                      556                  6.6637506304417267E+009                  8.7538585124688417E+000                  1.0004446413508129E-002                  1.0004446387763304E-002                  3.1704920116720723E+002                  9.6997045888102156E-008                  1.0322362063633130E-001                  4.4107025133387161E+000                  1.5683974376979547E+001                  1.7185931081304109E+000                  5.1707371676055534E+000                  2.5586057910731270E+001                  7.2831596369464942E+000                                       12                  7.0569971128209630E-001                  2.7232564191871325E-005                  3.5476153712241005E-005                  2.7689999999999987E-001                  1.0771934046337799E-008                  1.7609500595304060E-078                  1.0000689250143607E-099                  2.9880308009149099E-003                  8.7584490491777491E-004                  8.1317824244995698E-003                  1.8074638875443506E-003                  3.5344472101892536E-003                  7.0601349455498901E-003                  2.7702312119003993E-003                  4.6460827039216031E+002                  1.2331142913555987E+004                  2.3232077819512186E+004                  1.0761754188705395E+003                 -1.7503590973755417E+045                 -7.2243156295157915E-009                  1.8520196811581052E-010                                        0                                        6 
                                     230                                      556                  2.0000000000000000E+010                  9.3165478293062325E+000                  1.0004446413508129E-002                  1.0004446374343117E-002                  2.5760928328282415E+002                  4.0796833523469023E-008                  1.0140126439731310E-001                  4.4261739489579961E+000                  1.5712977873711669E+001                  1.7402046257310229E+000                  5.1117070906048170E+000                  3.0310808600861527E+001                  7.0160645528218959E+000                                       12                  7.0569921451888784E-001                  2.6239037774651975E-005                  3.6966443338059011E-005                  2.7690000000000003E-001                  1.0771934046337802E-008                  2.3784634247693457E-078                  1.0000689250143605E-099                  2.9880308009149112E-003                  8.7584490491777491E-004                  8.1317824244995715E-003                  1.8074638875443510E-003                  3.5344472101892540E-003                  7.0601299757089911E-003                  2.7702312119004010E-003                  4.8377571436742426E+002                  1.4176118787690524E+004                  2.6751037299087075E+004                  1.0335367922587645E+003                 -1.7857875731321156E+045                 -3.3541198918343400E-008                  4.0431751639003465E-009                                        0                                       10 
