                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "13.1.0"                   "x86_64-macos-23.10.1"                                 "CRMATH"                               "20240729"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                     Teff                               luminosity                                   radius                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                           center_entropy                               average_h1                              average_he3                              average_he4                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                            total_mass_h1                           total_mass_he4                                    tot_E                            rel_run_E_err                                rel_E_err                              num_retries                                num_iters 
                                     160                                      508                  1.7192948474021792E+007                  6.1851212245279008E+000                  4.5869850879771438E-003                  4.5869845516873882E-003                  8.6114054325716768E+002                  8.7000342643766886E-006                  1.3251516114651285E-001                  3.8550638175071708E+000                  1.4525060692559682E+001                  1.0070412775456747E+000                  5.1492471506085096E+000                  8.9529096416522709E+000                  8.9547901877470526E+000                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -2.7414393660934974E+044                 -2.0544650717117356E-011                  2.1458402981448602E-013                                        0                                        4 
                                     170                                      512                  4.1966346937425479E+007                  6.5305182016281549E+000                  4.5869850879771438E-003                  4.5869841923823753E-003                  6.8247171091565417E+002                  3.1836818047985388E-006                  1.2762879832412105E-001                  3.8876975951691715E+000                  1.4589545502665175E+001                  1.0565910508005487E+000                  5.1153154826337168E+000                  1.0473964128291312E+001                  8.6945285074954999E+000                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -2.8856532123035421E+044                 -2.1588768231250583E-011                  2.0399722495104249E-013                                        0                                        3 
                                     180                                      512                  1.0736304378896640E+008                  6.9880674228544652E+000                  4.5869850879771438E-003                  4.5869836719907913E-003                  5.3925911199452946E+002                  1.1588027338769344E-006                  1.2332835308010971E-001                  3.9174690915819004E+000                  1.4648214802591202E+001                  1.1013980238288898E+000                  5.0762550877126777E+000                  1.2300235633619142E+001                  8.4320953379128074E+000                  7.1000000000000041E-001                  2.8733433992169395E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -3.0246786066280789E+044                 -2.5441163575324871E-011                  1.9475172899452045E-013                                        0                                        4 
                                     190                                      512                  2.8142532883682728E+008                  7.4456430153128679E+000                  4.5869850879771438E-003                  4.5869830187639151E-003                  4.2859005007980682E+002                  4.3339302327558000E-007                  1.1940154594211878E-001                  3.9455750559244507E+000                  1.4702602193165601E+001                  1.1426273498128792E+000                  5.0312770089405774E+000                  1.4554610476044509E+001                  8.1580631621566422E+000                  7.1000000000000041E-001                  2.8733433992169409E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -3.1597053210316997E+044                 -2.6535447079405191E-011                  2.0272766883168495E-013                                        0                                        4 
                                     200                                      512                  9.2101105477907801E+008                  7.9360750455344871E+000                  4.5869850879771438E-003                  4.5869850607398368E-003                  3.4432349428933583E+002                  1.6461066188943137E-007                  1.1401154407738760E-001                  3.9856973007003518E+000                  1.4779581092832426E+001                  1.2004109213438492E+000                  4.9481046181683004E+000                  1.9291044669322424E+001                  7.7003698426135267E+000                  7.1000000000000041E-001                  2.8733433992169500E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -3.3565155425879390E+044                 -2.6959225474956146E-011                  1.9744987652309006E-013                                        0                                        3 
                                     210                                      512                  2.0749985370003045E+009                  8.1513274938425120E+000                  4.5869850879771438E-003                  4.5869850423035661E-003                  2.6851929798186779E+002                  5.7353155506626464E-008                  1.1065748955790676E-001                  4.0116333289209436E+000                  1.4828232531289315E+001                  1.2367057296190784E+000                  4.8772289014674568E+000                  2.4034723268335370E+001                  7.3482713569508995E+000                  7.1000000000000041E-001                  2.8733433992169768E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -3.4832059431705514E+044                 -2.7992466216990849E-011                  1.9811555984861086E-013                                        0                                        3 
                                     220                                      512                  4.9311633038238869E+009                  8.7054459728823854E+000                  4.5869850879771438E-003                  4.5869850705372089E-003                  2.1429375229144367E+002                  2.2108714021085258E-008                  1.0787377651339575E-001                  4.0337631894617578E+000                  1.4868753001913623E+001                  1.2669216916379142E+000                  4.8010932631807526E+000                  3.0021699204614389E+001                  6.9950631841887017E+000                  7.1000000000000041E-001                  2.8733433992170459E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -3.5919348188532267E+044                 -2.9645204086748718E-011                  2.0645575115705249E-013                                        0                                        3 
                                     230                                      512                  1.0814905588983313E+010                  8.8454548038299592E+000                  4.5869850879771438E-003                  4.5869850389999352E-003                  1.6686144751002607E+002                  7.7993923264942445E-009                  1.0567482342364298E-001                  4.0516518939284758E+000                  1.4901210076555531E+001                  1.2910617778692244E+000                  4.7237161659765636E+000                  3.7242460709188698E+001                  6.6490676193172931E+000                  7.1000000000000041E-001                  2.8733433992172041E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -3.6815515341584069E+044                 -3.0961551591416353E-011                  2.4253399232665477E-013                                        0                                        3 
                                     240                                      512                  1.6359264227461956E+010                  8.7483634926176261E+000                  4.5869850879771438E-003                  4.5869850786792437E-003                  1.4860762698511840E+002                  4.8219620338539568E-009                  1.0475695244971113E-001                  4.0592292443642695E+000                  1.4914838729810000E+001                  1.3012062046466124E+000                  4.6849329152584254E+000                  4.1365241572325758E+001                  6.4798611201262579E+000                  7.1000000000000041E-001                  2.8733433992173647E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -3.7199463260993416E+044                 -4.0373134999383904E-011                  5.0838804472712325E-013                                        2                                        4 
                                     245                                      512                  2.0000000000000000E+010                  7.5049061907856949E+000                  4.5869850879771438E-003                  4.5869850710226010E-003                  1.4214499623043284E+002                  4.0022605152026164E-009                  1.0431402073201194E-001                  4.0629095847908099E+000                  1.4921407917897735E+001                  1.3060950014383630E+000                  4.6645264880917185E+000                  4.3684261447932933E+001                  6.3912802739711756E+000                  7.1000000000000041E-001                  2.8733433992174745E-005                  2.6997126656600806E-001                  3.4468833607861574E-003                  1.0103427409336072E-003                  9.3805276451495480E-003                  2.0850244238750349E-003                  4.0772218292556787E-003                  3.2567594124637742E-003                  1.2383541739205816E-003                 -3.7387236088493753E+044                 -4.1297739446256627E-011                  2.0237627360854406E-013                                        2                                        2 
