                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "13.1.0"                   "x86_64-macos-23.10.1"                                 "CRMATH"                               "20240802"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                     Teff                               luminosity                                   radius                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                           center_entropy                               average_h1                              average_he3                              average_he4                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                            total_mass_h1                           total_mass_he4                                    tot_E                            rel_run_E_err                                rel_E_err                              num_retries                                num_iters 
                                      77                                      415                  5.7911217841186797E+001                  8.9824334329489497E-001                  2.6728718947041072E-004                  2.6728698662158943E-004                  4.1268796163771088E+002                  1.1392002839404915E-006                  2.0878995576899606E-001                  2.2256265671399356E+000                  1.1787425611790820E+001                 -4.1627037064918093E-001                  4.2581881207441130E+000                  1.9911280988194220E+000                  9.0597379071352115E+000                  7.1000000000000063E-001                  2.8733433992169388E-005                  2.6997126656600801E-001                  3.4468833607861548E-003                  1.0103427409336064E-003                  9.3805276451495428E-003                  2.0850244238750371E-003                  4.0772218292556761E-003                  1.8977390452399180E-004                  7.2159861078195344E-005                 -3.9187027120685015E+041                 -4.0198984606288999E-013                  4.0198984606288999E-013                                        0                                        2 
                                      80                                      415                  9.2467417371490725E+001                  1.1357870814377693E+000                  2.6728718947041072E-004                  2.6728698448112291E-004                  4.1268711435644974E+002                  1.1391778842925500E-006                  2.0878876040047598E-001                  2.2256315400174507E+000                  1.1787430690513359E+001                 -4.1626687126505812E-001                  4.2581879995225886E+000                  1.9911653399964384E+000                  9.0597294467104170E+000                  7.1000000000000063E-001                  2.8733433992169388E-005                  2.6997126656600801E-001                  3.4468833607861548E-003                  1.0103427409336064E-003                  9.3805276451495428E-003                  2.0850244238750371E-003                  4.0772218292556761E-003                  1.8977390452399180E-004                  7.2159861078195344E-005                 -3.9187495441361135E+041                 -1.6871130568171991E-012                  4.5272676878663988E-013                                        0                                        2 
                                      90                                      415                  5.1831184396247249E+002                  1.9275995419140175E+000                  2.6728718947041072E-004                  2.6728698449718526E-004                  4.1267584689957255E+002                  1.1388926759354590E-006                  2.0877402225834010E-001                  2.2256928548095885E+000                  1.1787493263689855E+001                 -4.1622375692814229E-001                  4.2581865052128540E+000                  1.9916241729835782E+000                  9.0596252037701213E+000                  7.1000000000000063E-001                  2.8733433992169388E-005                  2.6997126656600801E-001                  3.4468833607861548E-003                  1.0103427409336064E-003                  9.3805276451495428E-003                  2.0850244238750371E-003                  4.0772218292556761E-003                  1.8977390452399180E-004                  7.2159861078195344E-005                 -3.9193265811950054E+041                 -5.8918856414304797E-012                  3.8850200838756229E-013                                        0                                        2 
                                     100                                      415                  3.1550282903618968E+003                  2.7194120023902655E+000                  2.6728718947041072E-004                  2.6728698459635398E-004                  4.1260612740534594E+002                  1.1371300667621697E-006                  2.0868291085365231E-001                  2.2260719998450074E+000                  1.1787880172375603E+001                 -4.1595717940254284E-001                  4.2581772226737815E+000                  1.9944608923205607E+000                  9.0589803557160131E+000                  7.1000000000000063E-001                  2.8733433992169388E-005                  2.6997126656600801E-001                  3.4468833607861548E-003                  1.0103427409336064E-003                  9.3805276451495428E-003                  2.0850244238750371E-003                  4.0772218292556761E-003                  1.8977390452399180E-004                  7.2159861078195344E-005                 -3.9228959090986595E+041                 -1.0103300903509588E-011                  4.4297844511151637E-013                                        0                                        2 
                                     110                                      415                  1.9480881547074303E+004                  3.5112244628665139E+000                  2.6728718947041072E-004                  2.6728698519954265E-004                  4.1217617363405441E+002                  1.1263423213335150E-006                  2.0812420683095734E-001                  2.2284005802276639E+000                  1.1790255789518591E+001                 -4.1432081097345619E-001                  4.2581185768014169E+000                  2.0118630449445662E+000                  9.0550100940817053E+000                  7.1000000000000063E-001                  2.8733433992169388E-005                  2.6997126656600801E-001                  3.4468833607861548E-003                  1.0103427409336064E-003                  9.3805276451495428E-003                  2.0850244238750371E-003                  4.0772218292556761E-003                  1.8977390452399180E-004                  7.2159861078195344E-005                 -3.9448619414582400E+041                 -1.4374885405648195E-011                  4.8503372275511637E-013                                        0                                        2 
                                     120                                      415                  1.2056626178341814E+005                  4.3030369233427619E+000                  2.6728718947041072E-004                  2.6728698854483111E-004                  4.0957858667343345E+002                  1.0640387213801576E-006                  2.0486010504605853E-001                  2.2421309895618311E+000                  1.1804245702835274E+001                 -4.0469668360116240E-001                  4.2577084890623205E+000                  2.1136472204585859E+000                  9.0312068176874707E+000                  7.1000000000000063E-001                  2.8733433992169388E-005                  2.6997126656600801E-001                  3.4468833607861548E-003                  1.0103427409336064E-003                  9.3805276451495428E-003                  2.0850244238750371E-003                  4.0772218292556761E-003                  1.8977390452399180E-004                  7.2159861078195344E-005                 -4.0759809823925840E+041                 -4.4675273161926828E-011                  4.2539201606046250E-013                                        0                                        3 
                                     130                                      415                  7.4646029236494121E+005                  5.0948493838190094E+000                  2.6728718947041072E-004                  2.6728699944949776E-004                  3.9546248873911497E+002                  7.9432256980364272E-007                  1.8986329863732301E-001                  2.3081637278574312E+000                  1.1870961229440974E+001                 -3.5909265397548135E-001                  4.2540785518552502E+000                  2.5812747555244204E+000                  8.9076396575428856E+000                  7.1000000000000063E-001                  2.8733433992169388E-005                  2.6997126656600801E-001                  3.4468833607861548E-003                  1.0103427409336064E-003                  9.3805276451495428E-003                  2.0850244238750371E-003                  4.0772218292556761E-003                  1.8977390452399180E-004                  7.2159861078195344E-005                 -4.7450350181454677E+041                 -4.2003230352932881E-011                  3.9166359718532276E-013                                        0                                        3 
                                     140                                      430                  4.6218311580792954E+006                  5.8866618442952579E+000                  2.6728718947041072E-004                  2.6728697650229774E-004                  3.3928155209820767E+002                  2.9149261149028170E-007                  1.5625950492398843E-001                  2.4773528837036292E+000                  1.2039388361440393E+001                 -2.4525425412124993E-001                  4.2257969494849652E+000                  3.6676805261080858E+000                  8.5137700402123286E+000                  7.1000000000000063E-001                  2.8733433992169388E-005                  2.6997126656600801E-001                  3.4468833607861548E-003                  1.0103427409336064E-003                  9.3805276451495428E-003                  2.0850244238750371E-003                  4.0772218292556761E-003                  1.8977390452399180E-004                  7.2159861078195344E-005                 -6.7731242215925635E+041                 -3.2690325327733029E-011                  5.8532854944143595E-013                                        0                                        3 
                                     150                                      435                  1.7763949545469712E+007                  6.3198713060966423E+000                  2.6728718947041072E-004                  2.6728696245704732E-004                  2.6675087459943848E+002                  8.1595159419652367E-008                  1.3374379877028775E-001                  2.6124984628062884E+000                  1.2174079910745991E+001                 -1.5299909856362212E-001                  4.1680565348913481E+000                  4.7982340898214071E+000                  8.0849477912149652E+000                  7.1000000000000063E-001                  2.8733433992169388E-005                  2.6997126656600801E-001                  3.4468833607861548E-003                  1.0103427409336064E-003                  9.3805276451495428E-003                  2.0850244238750371E-003                  4.0772218292556761E-003                  1.8977390452399180E-004                  7.2159861078195344E-005                 -8.8218926301471106E+041                 -2.7657445920009884E-011                  2.9801713403855892E-013                                        0                                        3 
