                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20241009"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                     Teff                               luminosity                                   radius                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                           center_entropy                               average_h1                               average_h2                              average_he3                              average_he4                              average_li7                              average_be7                               average_b8                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                            total_mass_h1                           total_mass_he4                                 delta_nu                                   nu_max                          acoustic_cutoff                          acoustic_radius                                    tot_E                            rel_run_E_err                                rel_E_err                              num_retries                                num_iters 
                                      77                                      491                  5.7911217841186797E+001                  8.9824334329489497E-001                  9.3556432344946219E-003                  4.9024644998084171E-004                  2.5487607170693823E+003                  9.9507601952813270E-003                  5.1159131270916458E-001                  2.9912949571913474E+000                  1.3155765975091011E+001                 -1.6330850978724082E-001                  5.2793002231904786E+000                 -7.7580413658985645E-002                  1.3287651938859126E+001                  7.0569999999999999E-001                  2.7809999999997110E-005                  3.4610000000004353E-005                  2.7690000000000003E-001                  1.0771934046337799E-008                  1.5381380432394035E-084                  1.0000000000000006E-099                  2.9880308009149329E-003                  8.7584490491778163E-004                  8.1317824244995698E-003                  1.8074638875443629E-003                  3.5344472101892731E-003                  6.6022774305828551E-003                  2.5905776116315611E-003                  3.4245517593934181E+001                  1.6557492772113216E+002                  2.6760254215240008E+002                  1.4600450953282239E+004                 -2.3512434908255150E+044                 -3.1674504598951891E-013                  3.1674504598951891E-013                                        0                                        4 
                                      80                                      491                  9.2467417371490725E+001                  1.1357870814377693E+000                  9.3556432344946219E-003                  4.9024655843461480E-004                  2.5478252065835081E+003                  9.9241074923344767E-003                  5.1128097275624584E-001                  2.9918220178424857E+000                  1.3155897060253938E+001                 -1.6323429977406134E-001                  5.2793479159255678E+000                 -7.7561217766548757E-002                  1.3287632282912783E+001                  7.0569999999999999E-001                  2.7809999999995382E-005                  3.4610000000006989E-005                  2.7690000000000003E-001                  1.0771934046337799E-008                  1.5388474601981627E-084                  1.0000000000000006E-099                  2.9880308009149329E-003                  8.7584490491778163E-004                  8.1317824244995698E-003                  1.8074638875443629E-003                  3.5344472101892731E-003                  6.6022774305828551E-003                  2.5905776116315611E-003                  3.4280414768091049E+001                  1.6580642378742718E+002                  2.6803843440371713E+002                  1.4585587816907362E+004                 -2.3516577933999700E+044                 -1.3407022279684769E-010                  3.9645281996867561E-011                                        0                                        6 
                                      90                                      491                  5.1831184396247249E+002                  1.9275995419140175E+000                  9.3556432344946219E-003                  9.3556432344946219E-003                  2.5480067542280817E+003                  9.8970657431795735E-003                  5.1051115796923963E-001                  2.9931308021530572E+000                  1.3158059447997537E+001                 -1.6161042040437962E-001                  5.2797888957437671E+000                 -7.4258292706726653E-002                  1.3284590142363706E+001                  7.0569999999999999E-001                  2.7809999999973931E-005                  3.4610000000039115E-005                  2.7690000000000003E-001                  1.0771934046337799E-008                  1.5502254615884258E-084                  1.0000000000000006E-099                  2.9880308009149329E-003                  8.7584490491778163E-004                  8.1317824244995698E-003                  1.8074638875443629E-003                  3.5344472101892731E-003                  6.6022774305828551E-003                  2.5905776116315611E-003                  3.4359350340337159E+001                  1.6630092471303385E+002                  2.6884552694495773E+002                  1.4552079566330172E+004                 -2.3567552550312385E+044                 -1.4005191654801821E-010                  3.2945126184920671E-013                                        0                                        2 
                                     100                                      491                  3.1550282903618968E+003                  2.7194120023902655E+000                  9.3556432344946219E-003                  9.3556432344946219E-003                  2.5490738523986070E+003                  9.7314907240050562E-003                  5.0579905207772435E-001                  3.0011852573022573E+000                  1.3171065327402223E+001                 -1.5196502773520304E-001                  5.2825455407131301E+000                 -5.5256445969989958E-002                  1.3267074304435784E+001                  7.0569999999999999E-001                  2.7809999999838626E-005                  3.4610000000242071E-005                  2.7690000000000003E-001                  1.0771934046337799E-008                  1.6206662331579455E-084                  1.0000000000000006E-099                  2.9880308009149325E-003                  8.7584490491778163E-004                  8.1317824244995698E-003                  1.8074638875443629E-003                  3.5344472101892731E-003                  6.6022774305828551E-003                  2.5905776116315611E-003                  3.4849344771146320E+001                  1.6937846691139788E+002                  2.7387192041018324E+002                  1.4347472048139549E+004                 -2.3879810219343166E+044                 -1.4159226945755466E-010                 -1.0913865654575589E-012                                        0                                        2 
                                     110                                      491                  1.9480881547074303E+004                  3.5112244628665139E+000                  9.3556432344946219E-003                  9.3556432344946219E-003                  2.5545588960736650E+003                  8.8405834905375333E-003                  4.8002271174628341E-001                  3.0466177074363867E+000                  1.3244683972451915E+001                 -9.7272747093523876E-002                  5.2980343116419322E+000                  5.4404731912868487E-002                  1.3165937601036713E+001                  7.0569999999999966E-001                  2.7809999998903129E-005                  3.4610000001645266E-005                  2.7689999999999998E-001                  1.0771934046337797E-008                  2.0913594114967826E-084                  1.0000000000000006E-099                  2.9880308009149316E-003                  8.7584490491778141E-004                  8.1317824244995698E-003                  1.8074638875443616E-003                  3.5344472101892705E-003                  6.6022774305828516E-003                  2.5905776116315607E-003                  3.7749898688678911E+001                  1.8785549225710409E+002                  3.0410150851281878E+002                  1.3245068658951093E+004                 -2.5697041321504836E+044                 -1.3660292043954584E-010                  3.0091669171738596E-013                                        0                                        3 
                                     120                                      496                  1.2056626178341814E+005                  4.3030369233427619E+000                  9.3556432344946219E-003                  9.3556432344946219E-003                  2.5662180394970678E+003                  5.8658168420541298E-003                  3.8746305894344912E-001                  3.2326806738667941E+000                  1.3550204061381400E+001                  1.3009661937248373E-001                  5.3594564056566600E+000                  5.4933779305279762E-001                  1.2713783706190650E+001                  7.0569999999999344E-001                  2.7809999986434920E-005                  3.4610000020347523E-005                  2.7689999999999998E-001                  1.0771934046337797E-008                  1.0372609818052918E-081                  1.0000000000000006E-099                  2.9880308009149308E-003                  8.7584490491778076E-004                  8.1317824244995680E-003                  1.8074638875443601E-003                  3.5344472101892692E-003                  6.6022774305827935E-003                  2.5905776116315607E-003                  5.2503547018839747E+001                  2.8767230056230750E+002                  4.6889161153767429E+002                  9.5231661171498745E+003                 -3.4184015495548789E+044                 -1.0524194865042022E-010                  2.8229539608926146E-013                                        0                                        4 
                                     130                                      514                  6.4787502269679715E+005                  4.9704322928752322E+000                  9.3556432344946219E-003                  9.3556432344946219E-003                  2.4476977197768988E+003                  2.1315584748944662E-003                  2.5673567448630319E-001                  3.5901688397241323E+000                  1.4115663805374698E+001                  5.4960608860215976E-001                  5.4561455240762147E+000                  1.6765341401721847E+000                  1.1754391246915894E+001                  7.0569999999749322E-001                  2.7809994985056732E-005                  3.4610007522414795E-005                  2.7689999999999998E-001                  1.0771934046337797E-008                  1.2339442451978588E-074                  1.0000000000000006E-099                  2.9880308009149282E-003                  8.7584490491778033E-004                  8.1317824244995680E-003                  1.8074638875443594E-003                  3.5344472101892675E-003                  6.6022774305594025E-003                  2.5905776116315607E-003                  9.9726385321802908E+001                  6.7089429292448960E+002                  1.1328603956767911E+003                  5.0137182691077278E+003                 -5.4414765512991974E+044                 -6.9386056741015577E-011                  2.4824882697430403E-013                                        0                                        4 
                                     140                                      518                  2.9143194228783674E+006                  5.5307267624536660E+000                  9.3556432344946219E-003                  9.3556432076815702E-003                  2.0583556846274510E+003                  5.2148845538447629E-004                  1.7957036434024159E-001                  3.9006719518603834E+000                  1.4674895071097243E+001                  9.7252655081603812E-001                  5.5096751453850290E+000                  3.4824299408661639E+000                  1.0605265937088774E+001                  7.0569999949372619E-001                  2.7808987451933675E-005                  3.4611518822099409E-005                  2.7689999999999998E-001                  1.0771934046337797E-008                  1.9931810920213269E-070                  9.9346847581156239E-100                  2.9880308009149282E-003                  8.7584490491778033E-004                  8.1317824244995680E-003                  1.8074638875443594E-003                  3.5344472101892675E-003                  6.6022774258463375E-003                  2.5905776116315607E-003                  1.7779462722626045E+002                  1.4954637481929519E+003                  2.6829616702025210E+003                  2.8122334617215561E+003                 -8.0094750936631490E+044                 -4.9302534613381698E-011                  2.5382370584115628E-013                                        0                                        3 
                                     150                                      518                  1.0911655504947817E+007                  6.0872822743336075E+000                  9.3556432344946219E-003                  9.3556431977329119E-003                  1.6606041762036205E+003                  1.4305262849212920E-004                  1.4450032714832542E-001                  4.0894036188203637E+000                  1.5038512418184748E+001                  1.2484337869104838E+000                  5.4963370703353203E+000                  5.7346988017283778E+000                  9.7171209054990282E+000                  7.0569999363021574E-001                  2.7797260432051712E-005                  3.4629109351922926E-005                  2.7689999999999998E-001                  1.0771934046337797E-008                  2.2412812660846988E-070                  1.0000691068254869E-099                  2.9880308009149282E-003                  8.7584490491778033E-004                  8.1317824244995680E-003                  1.8074638875443594E-003                  3.5344472101892675E-003                  6.6022773709894260E-003                  2.5905776116315607E-003                  2.4474724098814667E+002                  2.5711931673431791E+003                  4.7134009567674539E+003                  2.0429239487288662E+003                 -1.0278875569253081E+045                 -4.0545670629620142E-011                  3.6997741387787142E-014                                        0                                        3 
