# eta[dimensionless] P[GPa]
4.037248601424239247e+00 2.015282555266788040e+04
4.033968740872577285e+00 2.260533485360533814e+04
4.031145050858304657e+00 2.535681047241599299e+04
4.028652672726596329e+00 2.844370990145422547e+04
4.026284577715550483e+00 3.190517167600145694e+04
4.024196625654639092e+00 3.578930955631136749e+04
4.022388246300719672e+00 4.014722404751421709e+04
4.020770349765655283e+00 4.503611020865350292e+04
4.019380572839032162e+00 5.052170733912653668e+04
4.018130316988016482e+00 5.667648845065884962e+04
4.017069236912040431e+00 6.358259616719877522e+04
4.016236233423499336e+00 7.133262524116935674e+04
4.015641439816362457e+00 8.002888269635540200e+04
4.015106117174347844e+00 8.978959445928073546e+04
4.014779210165841050e+00 1.007436731389876368e+05
4.014620624423701933e+00 1.130370008549466002e+05
4.014670219196671219e+00 1.268349283638602064e+05
4.014829139337546593e+00 1.423223749618967122e+05
4.015176326771435988e+00 1.597058177380019333e+05
4.015712004660493939e+00 1.792209081390340289e+05
4.016406577007416878e+00 2.011285785553589230e+05
4.017309719752475416e+00 2.257259192111706943e+05
4.018441048863867771e+00 2.533399708683616191e+05
4.019742513229758174e+00 2.843507314429007820e+05
4.021342238667339863e+00 3.191737383035314851e+05
4.023151629467972334e+00 3.582882087850088137e+05
4.025310379463569177e+00 4.022216913143765414e+05
4.027749518735155299e+00 4.515736259818210383e+05
4.030539503385383249e+00 5.070249101571894134e+05
4.033611447682851292e+00 5.693380055218110792e+05
1.349415126101023432e+00 4.047787053612509345e-01
1.360297428338797410e+00 4.389054070743028668e-01
1.526023480785485775e+00 4.884646346634590186e-01
1.594483847577395474e+00 6.083510846641695391e-01
1.665529000294104778e+00 7.547531664223188219e-01
1.702954937300399152e+00 8.561012462028417813e-01
1.736838231017233669e+00 9.583963988761080577e-01
1.772619048320772439e+00 1.072655537734195086e+00
1.810275680478073967e+00 1.201773034749385793e+00
1.849480116795044760e+00 1.346199249284754762e+00
1.889007020153739891e+00 1.496271258209075805e+00
2.006855655839435482e+00 2.184241968256879218e+00
1.995745474855496360e+00 2.051571832984004473e+00
2.034068989704182595e+00 2.256060088280469333e+00
2.076162053382446082e+00 2.508312111338439010e+00
2.119757943355549568e+00 2.790041517858463660e+00
2.161015082695373124e+00 3.086887666615723891e+00
2.199746313771453021e+00 3.399554681529472600e+00
2.235912245058677694e+00 3.728592931488850404e+00
2.270129881495515090e+00 4.078494359466101393e+00
2.303381224314148934e+00 4.456411094881270962e+00
2.254248269176692965e+00 4.727556211070250036e+00
2.359959146303770794e+00 5.546111378501557887e+00
2.471939583905401250e+00 6.504217124069580080e+00
2.592902654118091732e+00 7.618694747590568639e+00
2.729011683257628551e+00 8.954483892381153609e+00
2.882922474868885754e+00 1.053763794008749244e+01
2.917846110715638819e+00 1.124621072354752904e+01
2.974693193698134674e+00 1.214374665857482150e+01
3.056298472740375693e+00 1.326694067102015850e+01
3.202003740376927698e+00 1.498815910263232709e+01
3.410790026057087587e+00 1.739384617153974943e+01
3.619690823127365675e+00 1.996900180570150951e+01
3.815866718509163036e+00 2.266527528170776762e+01
3.988187532250826006e+00 2.543731046555722486e+01
4.131601203622389029e+00 2.827379292534078559e+01
4.237802578490295069e+00 3.123153938671505259e+01
4.314498497816718015e+00 3.434720170755572610e+01
4.368183514722153049e+00 3.768453317448241080e+01
4.401497577749927892e+00 4.131206487551538231e+01
4.420617826967055741e+00 4.530455769145857658e+01
4.426769457315108625e+00 4.974767351587078679e+01
4.423527307564210531e+00 5.473271594604751300e+01
4.414416152273631155e+00 6.035940186868999291e+01
