# eta[dimensionless] P[GPa]
2.414581380562255131e+00 6.737247846939137252e-01
2.450058122098699886e+00 7.365215288501975044e-01
2.486918420536875729e+00 8.063904261207621715e-01
2.524865143588603367e+00 8.837829835143440338e-01
2.872023745377561887e+00 2.079254426716760751e+00
2.910129199066092909e+00 2.290968164265228868e+00
2.948926954534727862e+00 2.525414524771603997e+00
2.987692482159120644e+00 2.783875813710321445e+00
3.025858215261870043e+00 3.067660664425905015e+00
3.063745454532610601e+00 3.379687657592405081e+00
3.101796264846551132e+00 3.723428615572277778e+00
3.140085629664155942e+00 4.102403293358200642e+00
3.178535563327673508e+00 4.520538060030895089e+00
3.217072846078315784e+00 4.982095878351118223e+00
3.255674895976850003e+00 5.496451283073763960e+00
3.294329460536230769e+00 6.065439766501188323e+00
3.333293223309917064e+00 6.694234789594126767e+00
3.373522050051783516e+00 7.393395099102741064e+00
3.415081343504108524e+00 8.172086024266819848e+00
3.456441782251999051e+00 9.035371105528383850e+00
3.497117489833748483e+00 9.991832027313202857e+00
3.538339605777948815e+00 1.105910432642095387e+01
3.580965838179196226e+00 1.225635897736416702e+01
3.622928211623049233e+00 1.359873609964242824e+01
3.662425356337575266e+00 1.510705466928563290e+01
3.702636552806659598e+00 1.681369020402827985e+01
3.744040718424211267e+00 1.875500427027664685e+01
3.778075455787091030e+00 2.092923314838867910e+01
3.803370342326314102e+00 2.336604267685086000e+01
3.848898162938280798e+00 2.630414608193391857e+01
3.933155153697242223e+00 3.000021147566425839e+01
4.038099012446828340e+00 3.453237582058898170e+01
4.167976026524103261e+00 4.010616875534948633e+01
4.396114148108933861e+00 4.764560658311164332e+01
4.681094445746562194e+00 5.719901521216339546e+01
4.895002499719137035e+00 6.758636276280627442e+01
5.021438035436112557e+00 7.854330509604650956e+01
5.097470778192112917e+00 9.064732835188280546e+01
5.148694371095572819e+00 1.044800862963053874e+02
5.193459296852117824e+00 1.206690536051110456e+02
5.238182692159989884e+00 1.396992534932176682e+02
5.273805031113560915e+00 1.616104532901495077e+02
5.297676368084096588e+00 1.865111809340984053e+02
5.321535974178845940e+00 2.152091042269782406e+02
5.350355145971655624e+00 2.484741360699354686e+02
5.374066152037208610e+00 2.864109726286104092e+02
5.384134922566787829e+00 3.291314878717830652e+02
5.371842418071130609e+00 3.774494798093273857e+02
5.335007368824188134e+00 4.323786864041648528e+02
5.286194616221431275e+00 4.952079441096420283e+02
5.234251248563410286e+00 5.674542894791511571e+02
5.177713822860028792e+00 6.511495879705594234e+02
5.115893116682133979e+00 7.485057488884477834e+02
5.051310164515859569e+00 8.624677244692747990e+02
4.990140618118968696e+00 9.952995395857878975e+02
4.929095199117233150e+00 1.147564433183957817e+03
4.866513969130966899e+00 1.319604164313847832e+03
4.802307627251610533e+00 1.511782314101746579e+03
4.726658429292994512e+00 1.720778074307052066e+03
4.619341626946292578e+00 1.936008307180645488e+03
4.481379887685410957e+00 2.154422435361037060e+03
4.357022609253865753e+00 2.401269179790770522e+03
4.293721224122339031e+00 2.708798793333874528e+03
3.561984284696848579e+00 2.613015906261687633e+03
3.685005418525579834e+00 3.049296595917726791e+03
