# eta[dimensionless] P[GPa]
2.974913446078641499e+00 9.287219282941961751e+00
3.028605363620810564e+00 1.030202617469533521e+01
3.081988404563240191e+00 1.141060724919017666e+01
3.134696826939883163e+00 1.263467160459576988e+01
3.192143355506994684e+00 1.401035749148605092e+01
3.258399400994002715e+00 1.555473428210730624e+01
3.337520750918069545e+00 1.729456805086622850e+01
3.434294315466805969e+00 1.928418597316656857e+01
3.548408507846534832e+00 2.153074980492665347e+01
3.684616888482273644e+00 2.403254620089715488e+01
3.888129019114419549e+00 2.707833360164035597e+01
4.211046657033090668e+00 3.119054261078373003e+01
4.580831035759203473e+00 3.626914654842407515e+01
4.863690203588778793e+00 4.187069369339201330e+01
5.120196172210354391e+00 4.838561989337398472e+01
5.303104128375183635e+00 5.651257074908624389e+01
5.417561648017334086e+00 6.631649564569168831e+01
5.453992187241066603e+00 7.758548619014187864e+01
5.443616040450923954e+00 9.036034824736394455e+01
5.419080364934015570e+00 1.048849178446259600e+02
5.401318096324882134e+00 1.216405200228923889e+02
5.394740842418455529e+00 1.412503037080957711e+02
5.388156424645519138e+00 1.640216819222947322e+02
5.371908968653412941e+00 1.900889840334554606e+02
5.345976607441484063e+00 2.199782763870903750e+02
5.309710368412195791e+00 2.544283609482741326e+02
5.260806091148755748e+00 2.939728490373547061e+02
5.203050514502060686e+00 3.393672909342830621e+02
5.139368349412757553e+00 3.921525248766735672e+02
5.056152245863620998e+00 4.550007804881462903e+02
4.940418486216211491e+00 5.311159986595615692e+02
4.790937409804842950e+00 6.209947662754958628e+02
4.631701586949271920e+00 7.197982523895633449e+02
4.513381945687356733e+00 8.234856611004764773e+02
4.450515130416130560e+00 9.375432923888566847e+02
4.418492349531736529e+00 1.068538408687031051e+03
4.405803613638158645e+00 1.216740448776236235e+03
4.404930593959397456e+00 1.383890891370615691e+03
4.406753894971280339e+00 1.577277127088998668e+03
4.416789870576087296e+00 1.803940298552626700e+03
4.424783141406533282e+00 2.049608875904776596e+03
4.488305081700317167e+00 2.339640819794495201e+03
5.153021910101503344e+00 3.040613009543948010e+03
6.183618880526366546e+00 4.090824281182004142e+03
5.772090207577764254e+00 4.282268287477814738e+03
4.486831274103805889e+00 3.752629433637424427e+03
3.940606869945735724e+00 3.724617813998760994e+03
3.912742089087565933e+00 4.169040618327986522e+03
3.928705058765180169e+00 4.715048574500072391e+03
3.939096233000120684e+00 5.322493630999567358e+03
3.947770066174909331e+00 6.003183442116584956e+03
3.955352460010089111e+00 6.765766046420585553e+03
3.962752380548416387e+00 7.620857159739259259e+03
3.969526609870609679e+00 8.579210807473456953e+03
3.974623679325452574e+00 9.652469864219769079e+03
3.978175761592015025e+00 1.085543045524453191e+04
3.981637175928542494e+00 1.220596338517147342e+04
3.984779093724426513e+00 1.372065935473880927e+04
3.986726799977533986e+00 1.541704986022151388e+04
3.988685222258571361e+00 1.731810921757316464e+04
3.991996684392197015e+00 1.945266727084569720e+04
3.995210858079373040e+00 2.184926909950976187e+04
3.996693389578256372e+00 2.453658546788139938e+04
3.998041083477867463e+00 2.754794921930968121e+04
3.999573656086368167e+00 3.092458941961424352e+04
4.000184943107830904e+00 3.471557255777998944e+04
4.000072874964952341e+00 3.896719455621032102e+04
4.000602065659662365e+00 4.374313739022538357e+04
4.002624715535819000e+00 4.911220034671867325e+04
4.004444771749382070e+00 5.512379095101720304e+04
4.005646976185596841e+00 6.186599779382867564e+04
4.006687707831621204e+00 6.944367970962113759e+04
4.006658354424366131e+00 7.793681724658077292e+04
4.007143288725364627e+00 8.746300861681431707e+04
4.008922424244510729e+00 9.817753343723033322e+04
4.010884532971107141e+00 1.102211285411230638e+05
4.012814886795371905e+00 1.237340766311673506e+05
4.014576883532300577e+00 1.388959584422464541e+05
4.016235419520242544e+00 1.559175736415128922e+05
4.014768438332493972e+00 1.748866496640139667e+05
4.016079241301453884e+00 2.202496906889249512e+05
2.067467597996800244e+00 5.803736697327214200e-01
