# eta[dimensionless] P[GPa]
4.082712396741924543e+00 3.597530494508120000e+02
3.873354958511591395e+00 3.868169263240930036e+02
3.575178318994244098e+00 4.013632074748558693e+02
3.754493086823908587e+00 4.711625820805122089e+02
4.143869175134626381e+00 5.898764986221649451e+02
4.282588273499854381e+00 6.978007661831341011e+02
4.277362241600584092e+00 7.982212071548291306e+02
4.260939267023402977e+00 9.096517796317389184e+02
4.246166448539923088e+00 1.035703484887618743e+03
4.231919774232243192e+00 1.177773881965304099e+03
4.218480859726511767e+00 1.337733147616133465e+03
4.205680512906752710e+00 1.517641670053625376e+03
4.193417450898933474e+00 1.719727792451863706e+03
4.181673795755315837e+00 1.946476826004053237e+03
4.170289789679769932e+00 2.200667227033689414e+03
4.159233248664565785e+00 2.485443848591858114e+03
4.148605711965374532e+00 2.804478553698302676e+03
4.138359994438880918e+00 3.161757735191734355e+03
4.128542684447623401e+00 3.561686913893339351e+03
4.119329811920207973e+00 4.009377663229789960e+03
4.110568881396772234e+00 4.510446421932033445e+03
4.102151812997552938e+00 5.071346217054015142e+03
4.094467071308008244e+00 5.699646289796453857e+03
4.087293991551089078e+00 6.403308368826073092e+03
4.080326139568737354e+00 7.191014422045670472e+03
4.073673887412512684e+00 8.073344181463370660e+03
4.067371628356605484e+00 9.062063942045562726e+03
4.061573715646335181e+00 1.017012658014139015e+04
4.056344669221809696e+00 1.141227459380433356e+04
4.051532806599366765e+00 1.280464000842710448e+04
4.047112914915409476e+00 1.436568925528976251e+04
4.043073148848233878e+00 1.611565450294074071e+04
4.039268903118410137e+00 1.807764457036029853e+04
4.035745291023383530e+00 2.027856867236409744e+04
4.032457438374459358e+00 2.274648404502545600e+04
4.029388862659351034e+00 2.551426406546518410e+04
4.026835022898288763e+00 2.862014819603296928e+04
4.024547325971915335e+00 3.210366588842853889e+04
4.022274159790219628e+00 3.600983445558122185e+04
4.020257683397079340e+00 4.039285386320159159e+04
4.018600471862380452e+00 4.531216814293643256e+04
4.017199831753991646e+00 5.083157034882652079e+04
4.016020247175060121e+00 5.702343337018058810e+04
4.014973436054566136e+00 6.397013351826632424e+04
4.013964154354307645e+00 7.176421686423342908e+04
4.012979292814570442e+00 8.050803099968517199e+04
4.012201436022075463e+00 9.031879947186808567e+04
4.011785557558440907e+00 1.013332355388273572e+05
4.011571807796930678e+00 1.136976702734229330e+05
4.011441660724682556e+00 1.275719024665912584e+05
4.011413995458481985e+00 1.431389392041418469e+05
4.011480672871334363e+00 1.606101313375143509e+05
4.011619319980047393e+00 1.802228935408668185e+05
4.011901468223411094e+00 2.022391882583402039e+05
4.012475579903288292e+00 2.269573738347570179e+05
4.013248020932426385e+00 2.547043255088024016e+05
4.014011128910941473e+00 2.858417469297413481e+05
4.011551097518864850e+00 3.205259698976207874e+05
4.010790640076243641e+00 4.034190410828604363e+05
1.679809687166122778e+00 7.205462751143708600e-01
1.786822434429291784e+00 9.247184542614617087e-01
1.845304736486327757e+00 1.086322628925856293e+00
1.867145389844447223e+00 1.218462133232776967e+00
1.863768619042205810e+00 1.327965425959371171e+00
1.865940024800194275e+00 1.480165666514788425e+00
1.950835400431895739e+00 1.832904067143467097e+00
2.108308909885419524e+00 2.364136533261470330e+00
2.153051740199149133e+00 2.544838233131136995e+00
2.171945086915878953e+00 2.670238835465681415e+00
2.221064850691075065e+00 2.935720217936224063e+00
2.271396426279071346e+00 3.224679630078535197e+00
2.314332879703207002e+00 3.515749783678587370e+00
2.356053443512596601e+00 3.858777817697947921e+00
2.412521295260325438e+00 4.403857917035237435e+00
2.415768902485343705e+00 4.906689798428526039e+00
2.289098061603933143e+00 4.888149123961804676e+00
2.063940079074917833e+00 4.244365063549838446e+00
1.915934245689246085e+00 3.889116783954211787e+00
1.893383922944805731e+00 4.173531126637482380e+00
1.961399304144531230e+00 4.977044351820012480e+00
2.181870783266353975e+00 6.726507359501694872e+00
2.469883879431470586e+00 9.056947715419328304e+00
2.694388154294106830e+00 1.110532369976292699e+01
