# eta[dimensionless] P[GPa]
4.075354240674077033e+00 8.012572167289666140e+03
4.069224104445295254e+00 8.994059231401955913e+03
4.063470180663687259e+00 1.009390928530627207e+04
4.058215759969789893e+00 1.132672400940482839e+04
4.053312451428320529e+00 1.270834592149383934e+04
4.048791892803526693e+00 1.425745074220563220e+04
4.044625481162257508e+00 1.599416138607076027e+04
4.040773734590551669e+00 1.794172813139679783e+04
4.037372396209197412e+00 2.012632969480292741e+04
4.034083946924459596e+00 2.257558655251422533e+04
4.031260566899464770e+00 2.532344967477381215e+04
4.028772030862952214e+00 2.840632746250110722e+04
4.026401570665399277e+00 3.186321310649690713e+04
4.024313414016384982e+00 3.574226367311925424e+04
4.022506881473498552e+00 4.009448024786869792e+04
4.020888752152683487e+00 4.497694330819724564e+04
4.019499903533533924e+00 5.045535054408158612e+04
4.018248965770890635e+00 5.660206900979246711e+04
4.017189473653353993e+00 6.349916214571521414e+04
4.016362506974832769e+00 7.123914258659655752e+04
4.015777986310222758e+00 7.992412442536679737e+04
4.015246904384405013e+00 8.967226837677098229e+04
4.014925801796356275e+00 1.006122291003683786e+05
4.014773455084294618e+00 1.128896844834618096e+05
4.014832817926076380e+00 1.266698534764208307e+05
4.015000263544747483e+00 1.421374626310440071e+05
4.015358334406297303e+00 1.594986770295739116e+05
4.015913001711031605e+00 1.789892586180601502e+05
4.016609853674735220e+00 2.008687200159347849e+05
4.017620444189593520e+00 2.254403522614864632e+05
1.701432668554390126e+00 8.555856733450214469e-01
1.736471938577948126e+00 9.585013231836932990e-01
1.772293657197175909e+00 1.071489608855370479e+00
1.810063813321333370e+00 1.199314622272831032e+00
1.849452636145809015e+00 1.342257287311855007e+00
1.888626258934940072e+00 1.489021064113514203e+00
2.009879999149482899e+00 2.203989313187894705e+00
1.994176181441671414e+00 2.042134956706927795e+00
2.031286316677380466e+00 2.241600143245555898e+00
2.072828183761591614e+00 2.492017596062659379e+00
2.115965668906477415e+00 2.771925373078250932e+00
2.157036859422611030e+00 3.067835130528517862e+00
2.195545699007602103e+00 3.378593509594681077e+00
2.231938144507306987e+00 3.705900115173172082e+00
2.267768860832044098e+00 4.057931365123318201e+00
2.304713928457197358e+00 4.446005541965012853e+00
2.256904648396398816e+00 4.729275509044883918e+00
2.374686763868179895e+00 5.602721677118765342e+00
2.494927426610418664e+00 6.606299353813358977e+00
2.620202800913629115e+00 7.751457491955372703e+00
2.757028623913408971e+00 9.104005725259824544e+00
2.909337513274127041e+00 1.068613217428132955e+01
2.937008220974465456e+00 1.133779774717558908e+01
2.986816835634507949e+00 1.217964790168632483e+01
3.062099259256394479e+00 1.324811200558099777e+01
3.204514977773254447e+00 1.493899576656891881e+01
3.413397819633360974e+00 1.734294945159448176e+01
3.622987175737479859e+00 1.991856493316385368e+01
3.820264286571080525e+00 2.261685189944456198e+01
3.993702133064990001e+00 2.538814301796127637e+01
4.137892529592351210e+00 2.822036277289201678e+01
4.243700343870465019e+00 3.117068848541880044e+01
4.320035265292189841e+00 3.427251989031037027e+01
4.372942684149527359e+00 3.758989365726041854e+01
4.405119047681415267e+00 4.119042595851215793e+01
4.422945175797146078e+00 4.514862175882532824e+01
4.427625677863173514e+00 4.955098792886544601e+01
4.422873726385177839e+00 5.448927817520628736e+01
4.412284933181074287e+00 6.006227847921002194e+01
4.398299440714449560e+00 6.638049411351855156e+01
4.381937067989764678e+00 7.357288590136346329e+01
4.363817452473479186e+00 8.178836486712650355e+01
4.344304464103298180e+00 9.119530731104009647e+01
4.323802193963396157e+00 1.019990388997605635e+02
