# eta[dimensionless] P[GPa]
3.250287804417641979e+00 7.457588323752990966e+00
3.288793670243530087e+00 8.230744315472007244e+00
3.757798123161363080e+00 2.329740603180126257e+01
3.889662909166625937e+00 2.666145260938042227e+01
4.053735621211028040e+00 3.087208251203725595e+01
4.242773270356624771e+00 3.609074514105231657e+01
4.514973072901375062e+00 4.304356241188249044e+01
4.805995370430102831e+00 5.167337243014217307e+01
5.017674234249379417e+00 6.115495895095111223e+01
5.139345565905630409e+00 7.130894353456075407e+01
5.209293926079851644e+00 8.263453666455068003e+01
5.254189647218452386e+00 9.564554471063716790e+01
5.291383547522191755e+00 1.108761906906739512e+02
5.327575772090106909e+00 1.287719845485491135e+02
5.355278605566716088e+00 1.494294595704230346e+02
5.371707893579648285e+00 1.730034392556802914e+02
5.386106255707141521e+00 2.002125512368547788e+02
5.402655177662228247e+00 2.317699192148895975e+02
5.413172555619089721e+00 2.678828075955437384e+02
5.410360380263161240e+00 3.088033645347871925e+02
5.386003852202770226e+00 3.554102602322113853e+02
5.337304603304150241e+00 4.087651952900308743e+02
5.275073206986215624e+00 4.700905616430677014e+02
5.207999259360467370e+00 5.407088711155383862e+02
5.137020331379171800e+00 6.223780576156672169e+02
5.062952992795344720e+00 7.170870086087530808e+02
4.993632576801096512e+00 8.274442087433445749e+02
4.933551995752540442e+00 9.556961833857756119e+02
4.878895705440547736e+00 1.102800027745407533e+03
4.827635775629378401e+00 1.269715903861190100e+03
4.781160294582395665e+00 1.458158914398732350e+03
4.737414436875321933e+00 1.668759269882894387e+03
4.686973540945014172e+00 1.898064365641981340e+03
4.627402903386633959e+00 2.145434757743368664e+03
4.569400184527434128e+00 2.423160088533719318e+03
4.520515985479197418e+00 2.739524103820231630e+03
3.829699488627752668e+00 2.685636483256259453e+03
3.858503659786277407e+00 3.056109717351422660e+03
3.883853460436036631e+00 3.471205007849396225e+03
3.906743891962640713e+00 3.936824893000875818e+03
3.927688322738167592e+00 4.459604018839648234e+03
3.947392277649871772e+00 5.047099017433887639e+03
3.966221699343976503e+00 5.707778594247050933e+03
3.985049797911950797e+00 6.452064851723473112e+03
4.004217687163214023e+00 7.291209980427800474e+03
4.024325799224492073e+00 8.238826823351242638e+03
4.045762611157035948e+00 9.310432496889681715e+03
4.068965102106043119e+00 1.052353927785439919e+04
2.411523251397415635e+00 7.003816598565798524e-01
2.439872913839143731e+00 7.627194253679746572e-01
2.468320880766862402e+00 8.311323202530344068e-01
2.497690657258132774e+00 9.074238956176191584e-01
2.527648109150296474e+00 9.921349998520174740e-01
2.558093136345148899e+00 1.085873288463649278e+00
2.589601043598758867e+00 1.191343530613157897e+00
2.621117267174764454e+00 1.307815036235566275e+00
2.653360298476891366e+00 1.437009571498146787e+00
2.686699476733063197e+00 1.580710836919510420e+00
2.720458547039391828e+00 1.739588401672034879e+00
2.753948531822064894e+00 1.914245898371255139e+00
2.787572286198715332e+00 2.106807315572746475e+00
2.821883138338996844e+00 2.319819478065206830e+00
2.856618826021637414e+00 2.555057852261081841e+00
2.891787311916862002e+00 2.816335375234043870e+00
2.927289185301066965e+00 3.106020342245614074e+00
2.962782260341482399e+00 3.424792254325705443e+00
2.998223397068498386e+00 3.775400894587035427e+00
