                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20241009"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                     Teff                               luminosity                                   radius                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                           center_entropy                                  species                               average_h1                              average_he3                              average_he4                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                            total_mass_h1                           total_mass_he4                                 delta_nu                                   nu_max                          acoustic_cutoff                          acoustic_radius                                    tot_E                            rel_run_E_err                                rel_E_err                              num_retries                                num_iters 
                                       1                                      523                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0004446413508134E-002                  9.4712276494114973E-003                  2.5871828172754749E+003                  9.2259414154134394E-003                  4.7808406743340015E-001                  3.0792521482770319E+000                  1.3261478477829645E+001                 -1.0891911968179636E-001                  5.3228413866247539E+000                 -1.0541806771686327E-001                  1.3310538608550958E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  3.9228955623512796E+001                  2.0123463881753327E+002                  3.2401393349487080E+002                  1.2745687262199590E+004                 -2.9374841643234138E+044                 -4.8298314635641250E-010                  4.8298314635641250E-010                                        0                                        8 
                                      10                                      534                  2.1000109143398663E-004                 -4.3835580695514214E+000                  1.0004446413508134E-002                  9.6395115767475923E-003                  2.5838835266885558E+003                  9.2241154403623748E-003                  4.7925831814504294E-001                  3.0771213709590435E+000                  1.3264731804981684E+001                 -1.0342925830400990E-001                  5.3208328287538356E+000                 -7.7359686907350442E-002                  1.3284956400100025E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  3.9080810056896780E+001                  2.0037754611201214E+002                  3.2283257071850193E+002                  1.2794002971587908E+004                 -2.9374841669353065E+044                 -4.8732635606347365E-010                  3.7288008530866999E-013                                        0                                        6 
                                      20                                      533                  1.4979712968824093E-003                 -3.5917456090751738E+000                  1.0004446413508134E-002                  9.8480778900591152E-003                  2.5842462614337087E+003                  9.4305240629568646E-003                  4.8445482012764579E-001                  3.0677541270371043E+000                  1.3274969495813867E+001                 -8.9893216398371181E-002                  5.3177821981710611E+000                 -1.6961957181188956E-002                  1.3230102838169413E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  3.8457973926077962E+001                  1.9608814048857519E+002                  3.1573705387136067E+002                  1.3001204924655562E+004                 -2.9374841831319934E+044                 -5.0002342592560833E-010                  4.3922981235225913E-013                                        0                                        8 
                                      30                                      533                  9.4727433289234185E-003                 -2.7999331485989258E+000                  1.0004446413508134E-002                  9.9214519258472630E-003                  2.5915779516676062E+003                  9.6325530147549389E-003                  4.8685015423732653E-001                  3.0634700658102654E+000                  1.3277731995875378E+001                 -8.6669761667530501E-002                  5.3173329041494295E+000                 -3.8696066048309846E-003                  1.3218185613118630E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  3.8175495390767615E+001                  1.9388851170229759E+002                  3.1161034528668716E+002                  1.3097406985343805E+004                 -2.9374842764528495E+044                 -5.1139281336048011E-010                  3.2109491863265017E-013                                        0                                        3 
                                      40                                      533                  5.8850429780048577E-002                 -2.0081206881226774E+000                  1.0004446413508134E-002                  9.9285464526519627E-003                  2.5912503782438239E+003                  9.6330316865370878E-003                  4.8698535199677495E-001                  3.0632288930828571E+000                  1.3277895702302956E+001                 -8.6487808648120196E-002                  5.3173142454107678E+000                 -3.1628280700527417E-003                  1.3217541369078365E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  3.8162008870551951E+001                  1.9379311931958753E+002                  3.1147593584095148E+002                  1.3102035631720357E+004                 -2.9374848511623057E+044                 -5.2125238869581124E-010                  3.1219428441979690E-013                                        0                                        2 
                                      50                                      533                  3.6458404943332706E-001                 -1.2163082276464297E+000                  1.0004446413508134E-002                  9.9285464493091575E-003                  2.5899935486374166E+003                  9.6088464909048123E-003                  4.8684579568406838E-001                  3.0634778419363928E+000                  1.3277902088319916E+001                 -8.6481025251967172E-002                  5.3173137956418444E+000                 -3.1376777731435788E-003                  1.3217518429516197E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  3.8183752209669578E+001                  1.9395128003231909E+002                  3.1182272551408914E+002                  1.3094574814294469E+004                 -2.9374884037035089E+044                 -5.2422063470051948E-010                  2.9884306591688360E-013                                        0                                        2 
                                      60                                      533                  2.2576060377927192E+000                 -4.2449576717018161E-001                  1.0004446413508134E-002                  9.9285464225482151E-003                  2.5852035121299946E+003                  9.5138949057186981E-003                  4.8623124301751242E-001                  3.0645749672688964E+000                  1.3277905513875337E+001                 -8.6478990662863298E-002                  5.3173149738281227E+000                 -3.1365435392919469E-003                  1.3217517320157700E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  3.8277291298499144E+001                  1.9462191792145614E+002                  3.1325553324022326E+002                  1.3062575303483010E+004                 -2.9375102454104543E+044                 -5.2730965870546466E-010                  3.0234709927311368E-013                                        0                                        4 
                                      70                                      533                  1.3978699231521631E+001                  3.6731669330606642E-001                  1.0004446413508134E-002                  1.6995801084778003E-003                  2.5736289923698059E+003                  9.2765031811171406E-003                  4.8445498502427203E-001                  3.0677538313906183E+000                  1.3277923977642665E+001                 -8.6468439808366049E-002                  5.3173216920167148E+000                 -3.1336314252075935E-003                  1.3217514241366453E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  3.8541560040244349E+001                  1.9649206220184217E+002                  3.1712688310295329E+002                  1.2973008863105430E+004                 -2.9376428183268142E+044                 -5.3059265075828602E-010                  3.0044555617949700E-013                                        0                                        4 
                                      80                                      533                  8.6552618869477669E+001                  1.1591291537823145E+000                  1.0004446413508134E-002                  1.0004446413508134E-002                  2.5725498244894184E+003                  9.2502494216815546E-003                  4.8417492369403159E-001                  3.0682561041063887E+000                  1.3278206833850302E+001                 -8.6258266802454783E-002                  5.3173816596204162E+000                 -2.7151022567371264E-003                  1.3217128289452100E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  3.8580338136055637E+001                  1.9676069871052411E+002                  3.1764341757847984E+002                  1.2959969356326612E+004                 -2.9384539224072107E+044                 -7.2885889167096183E-010                  2.9389161586649019E-013                                        0                                        2 
                                      90                                      533                  5.3591120040814042E+002                  1.9509416142585625E+000                  1.0004446413508134E-002                  1.0004446413508134E-002                  2.5726734227749794E+003                  9.2290012059975859E-003                  4.8357205120687780E-001                  3.0693383052813767E+000                  1.3279984398066611E+001                 -8.4933248577454129E-002                  5.3177547354435344E+000                 -5.1705076278343227E-005                  1.3214672666833875E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  3.8653981869966515E+001                  1.9724687195935985E+002                  3.1843787584112488E+002                  1.2935277966498232E+004                 -2.9434687957105029E+044                 -7.3066501443072825E-010                  3.3255455240097254E-013                                        0                                        2 
                                     100                                      533                  3.3182210964390779E+003                  2.7427540747348105E+000                  1.0004446413508134E-002                  1.0004446413508134E-002                  2.5734171528221814E+003                  9.1000707623745680E-003                  4.7990487632030043E-001                  3.0759503640150965E+000                  1.3290850736630809E+001                 -7.6833194061427745E-002                  5.3200333826192674E+000                  1.6259236424400528E-002                  1.3199632343666547E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  3.9107114813071696E+001                  2.0024395653821088E+002                  3.2333669810899664E+002                  1.2785397296373119E+004                 -2.9742433095938523E+044                 -7.2554620001257539E-010                 -1.9006277587171226E-013                                        0                                        2 
                                     110                                      533                  2.0545550618097783E+004                  3.5345665352110589E+000                  1.0004446413508134E-002                  1.0004446413508134E-002                  2.5772931749769668E+003                  8.3901651913336154E-003                  4.5942092225433234E-001                  3.1138391510830927E+000                  1.3353299472611909E+001                 -3.0287230994443231E-002                  5.3330540795070300E+000                  1.1128238678642047E-001                  1.3112213856196654E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  4.1813018128619483E+001                  2.1833400868878715E+002                  3.5295135913020482E+002                  1.1957998307177168E+004                 -3.1550891787861138E+044                 -6.8858049690223142E-010                  3.1451812587844191E-013                                        0                                        3 
                                     120                                      539                  1.2721263427803872E+005                  4.3263789956873069E+000                  1.0004446413508134E-002                  1.0004446413508134E-002                  2.5854135584661435E+003                  5.8265526219253572E-003                  3.8045119572467490E-001                  3.2776627828934282E+000                  1.3625948939881864E+001                  1.7286838294180396E-001                  5.3872611316122709E+000                  5.6250577896142784E-001                  1.2704127378567403E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  5.5946338584864705E+001                  3.1787906087523498E+002                  5.1727952090144754E+002                  8.9371353451763898E+003                 -4.0290480796774912E+044                 -5.4177110738252505E-010                  2.9909306814189734E-013                                        0                                        4 
                                     130                                      551                  7.1017796892641031E+005                  5.0192733287019635E+000                  1.0004446413508134E-002                  1.0004446413508134E-002                  2.4658301761369962E+003                  2.1644866543909257E-003                  2.5492022373342615E-001                  3.6254521077273747E+000                  1.4182561999375181E+001                  5.8623846351353492E-001                  5.4825598597707739E+000                  1.6752986178293021E+000                  1.1760813615998204E+001                                        8                  7.0572780999999896E-001                  3.4610000000000016E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  1.0451935587456109E+002                  7.2499443939172613E+002                  1.2222555858386233E+003                  4.7838029216337218E+003                 -6.2815015233500975E+044                 -3.4985282628534335E-010                  2.4721350134312979E-013                                        0                                        4 
                                     140                                      558                  3.2595994372954885E+006                  5.5858111484210040E+000                  1.0004446413508134E-002                  1.0004446388865430E-002                  2.0790465809019033E+003                  5.3578447283940053E-004                  1.7841024230683861E-001                  3.9354211235618837E+000                  1.4746856729540724E+001                  1.0132802643386039E+000                  5.5375199797416608E+000                  3.4775181093932765E+000                  1.0608295229041818E+001                                        8                  7.0572780999999896E-001                  3.4610000000000077E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  1.8612607196374773E+002                  1.6119559256166472E+003                  2.8869504490575032E+003                  2.6863512173479185E+003                 -9.2310506008081980E+044                 -2.4017017660203953E-010                  2.0564363212087396E-013                                        0                                        3 
                                     150                                      558                  1.2294248682863830E+007                  6.1401629336707826E+000                  1.0004446413508134E-002                  1.0004446379079920E-002                  1.6741322846661096E+003                  1.4567049848325379E-004                  1.4346944585386351E-001                  4.1247418479469484E+000                  1.5114190735145417E+001                  1.2915896237842797E+000                  5.5246317876572837E+000                  5.7412807773246586E+000                  9.7184374105293099E+000                                        8                  7.0572780999999896E-001                  3.4610000000000619E-005                  2.7690000000000015E-001                  2.9880308009149321E-003                  8.7584490491778174E-004                  8.1317824244995646E-003                  1.8074638875443614E-003                  3.5344579821233214E-003                  7.0604160576674393E-003                  2.7702312119004036E-003                  2.5666112256306576E+002                  2.7778648444829496E+003                  5.0908281051240874E+003                  1.9480940276692741E+003                 -1.1857907431377772E+045                 -1.8953628409627565E-010                  2.1728115688827841E-013                                        0                                        4 
