                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "13.1.0"                   "x86_64-macos-23.10.1"                                 "CRMATH"                               "20240725"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                           mass_conv_core                                     Teff                               luminosity                                   radius                                    log_g                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                           center_entropy                               average_h1                              average_he3                              average_he4                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                            total_mass_h1                           total_mass_he4                                    tot_E                            rel_run_E_err                                rel_E_err                              num_retries                                num_iters 
                                      77                                      497                  5.7911217841186797E+001                  8.9824334329489497E-001                  1.9093612704684185E-002                  3.7714229430904888E-004                  2.6979610383755485E+003                  1.2837374381455574E-002                  5.1858495970322438E-001                  3.2893159024618304E+000                  1.3653252588827264E+001                  5.8053475044823367E-002                  5.5161024818990381E+000                 -4.7011769360654337E-001                  1.3694802853017123E+001                  7.0999999999999985E-001                  2.8733433992169392E-005                  2.6997126656600784E-001                  3.4468833607861561E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.3556465020325769E-002                  5.1547268052044076E-003                 -1.0648026041977943E+045                 -1.0466752783045693E-011                  1.0466752783045693E-011                                        0                                        2 
                                      80                                      497                  9.2467417371490725E+001                  1.1357870814377693E+000                  1.9093612704684185E-002                  3.7714228421965103E-004                  2.6979658426289029E+003                  1.2836412833093815E-002                  5.1856369093450638E-001                  3.2893515267048423E+000                  1.3653310050129637E+001                  5.8086849041827156E-002                  5.5161232853331130E+000                 -4.7010785045065201E-001                  1.3694795053088914E+001                  7.0999999999999985E-001                  2.8733433992169392E-005                  2.6997126656600784E-001                  3.4468833607861561E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.3556465020325769E-002                  5.1547268052044076E-003                 -1.0648561907491145E+045                 -5.8594050965994651E-011                  1.8663021355749737E-011                                        0                                        5 
                                      90                                      497                  5.1831184396247249E+002                  1.9275995419140175E+000                  1.9093612704684185E-002                  1.9093612704684185E-002                  2.6980238578911940E+003                  1.2824618930144166E-002                  5.1830312120162336E-001                  3.2897880880768517E+000                  1.3654097752947996E+001                  5.8686689559043152E-002                  5.5162813106911210E+000                 -4.6893858445199305E-001                  1.3693709356456189E+001                  7.0999999999999985E-001                  2.8733433992169392E-005                  2.6997126656600784E-001                  3.4468833607861561E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.3556465020325769E-002                  5.1547268052044076E-003                 -1.0655161959653771E+045                 -3.6863489463050451E-010                  3.0010324115050930E-013                                        0                                        2 
                                     100                                      497                  3.1550282903618968E+003                  2.7194120023902655E+000                  1.9093612704684185E-002                  1.9093612704684185E-002                  2.6983743354609719E+003                  1.2751307085134937E-002                  5.1668531467609702E-001                  3.2925035001324838E+000                  1.3658861748163712E+001                  6.2222725189369769E-002                  5.5173193315696949E+000                 -4.6253209601193201E-001                  1.3687773660484478E+001                  7.0999999999999985E-001                  2.8733433992169392E-005                  2.6997126656600784E-001                  3.4468833607861561E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.3556465020325769E-002                  5.1547268052044076E-003                 -1.0695879471185122E+045                 -3.6995613307574802E-010                  2.6770176318640342E-013                                        0                                        2 
                                     110                                      497                  1.9480881547074303E+004                  3.5112244628665139E+000                  1.9093612704684185E-002                  1.9093612704684185E-002                  2.7004285272210477E+003                  1.2319657063449833E-002                  5.0709239318795851E-001                  3.3087815447521858E+000                  1.3687454590466075E+001                  8.3472689617950346E-002                  5.5235391352458629E+000                 -4.2380183959104378E-001                  1.3651891206028671E+001                  7.0999999999999985E-001                  2.8733433992169392E-005                  2.6997126656600784E-001                  3.4468833607861561E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.3556465020325769E-002                  5.1547268052044076E-003                 -1.0942514211617711E+045                 -3.6518773968178286E-010                  2.9497383127948860E-013                                        0                                        3 
                                     120                                      497                  1.2056626178341814E+005                  4.3030369233427619E+000                  1.9093612704684185E-002                  1.9093612704684185E-002                  2.7098238308580972E+003                  1.0277879236336090E-002                  4.5996289696400622E-001                  3.3935101351645645E+000                  1.3837445603746399E+001                  1.9568777081071850E-001                  5.5559526778877304E+000                 -2.1060818220285177E-001                  1.3454228343837908E+001                  7.0999999999999985E-001                  2.8733433992169392E-005                  2.6997126656600784E-001                  3.4468833607861561E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.3556465020325769E-002                  5.1547268052044076E-003                 -1.2298232950884250E+045                 -3.2750696577426304E-010                  2.8307200512301798E-013                                        0                                        3 
                                     130                                      513                  7.3215269892604963E+005                  5.0558295975945065E+000                  1.9093612704684185E-002                  1.9093612704684185E-002                  2.7221647242437025E+003                  5.5602543365148895E-003                  3.3525223825817368E-001                  3.6682123643187587E+000                  1.4336885521707211E+001                  5.7121900328130870E-001                  5.6572929697826186E+000                  6.2145860761189409E-001                  1.2730755538078821E+001                  7.0999999999999985E-001                  2.8733433992169477E-005                  2.6997126656600784E-001                  3.4468833607861561E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.3556465020325769E-002                  5.1547268052044076E-003                 -1.7564975929971863E+045                 -2.3147185537220798E-010                  2.5259226761752303E-013                                        0                                        5 
                                     140                                      528                  3.1750920956305675E+006                  5.6320505709139139E+000                  1.9093612704684185E-002                  1.9093612704684185E-002                  2.5777666287110715E+003                  2.0069708026010072E-003                  2.2461383031481955E-001                  4.0160827486079844E+000                  1.4959199970292488E+001                  1.0384647180203939E+000                  5.7662952425810676E+000                  1.8498713491216154E+000                  1.1696725642014856E+001                  7.0999999999999985E-001                  2.8733433992206966E-005                  2.6997126656600784E-001                  3.4468833607861557E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.3556465020325769E-002                  5.1547268052044076E-003                 -2.6361497846927210E+045                 -1.5720565002621550E-010                 -1.0864100496851920E-012                                        0                                        3 
                                     150                                      534                  1.4521142085273067E+007                  6.2998287826868165E+000                  1.9093612704684185E-002                  1.9093612693994410E-002                  2.1766525706553825E+003                  5.0685414461600921E-004                  1.5831294714964900E-001                  4.3199228688079438E+000                  1.5557405635034044E+001                  1.4895802863212189E+000                  5.8249956836246719E+000                  3.7734399522360729E+000                  1.0528478900319127E+001                  7.0999999999999464E-001                  2.8733433997258583E-005                  2.6997126656600784E-001                  3.4468833607861514E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.3556465020325668E-002                  5.1547268052044076E-003                 -3.8622153734668722E+045                 -1.0925167697109352E-010                  2.8095505011190745E-013                                        0                                        3 
                                     160                                      535                  5.1164563292419337E+007                  6.7408888338020931E+000                  1.9093612704684185E-002                  1.9093612688815511E-002                  1.7487616279628414E+003                  1.3849152531783461E-004                  1.2820457686364228E-001                  4.5031486771054743E+000                  1.5923024326420993E+001                  1.7638836035434426E+000                  5.8061151845232422E+000                  6.2344608258374432E+000                  9.6434214896765642E+000                  7.0999999999995089E-001                  2.8733434041289168E-005                  2.6997126656600784E-001                  3.4468833607861488E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.3556465020324836E-002                  5.1547268052044076E-003                 -4.8794322339900700E+045                 -9.0571736775879890E-011                  3.8839306633663142E-013                                        0                                        3 
                                     170                                      542                  1.2651356353972727E+008                  6.8344557328979203E+000                  1.9093612704684185E-002                  1.9093612659831852E-002                  1.3651607354661392E+003                  4.0749199814710980E-005                  1.1411562836735489E-001                  4.6042654843736912E+000                  1.6125503019475701E+001                  1.9156114008154452E+000                  5.7501496812591126E+000                  9.0537722539844729E+000                  9.0092555304898845E+000                  7.0999999999989361E-001                  2.8733434098738066E-005                  2.6997126656600784E-001                  3.4468833607861479E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.3556465020323741E-002                  5.1547268052044076E-003                 -5.5518862376714347E+045                 -8.2271256470744033E-011                  2.0560928604046744E-013                                        0                                        3 
                                     180                                      550                  2.2999731992819759E+008                  7.2026574777550296E+000                  1.9093612704684185E-002                  1.9093612603354918E-002                  1.0713957557342171E+003                  1.4152420391497495E-005                  1.0918643291267789E-001                  4.6426183804718510E+000                  1.6202092700858142E+001                  1.9729991003880041E+000                  5.7123233100565365E+000                  1.0820094007266086E+001                  8.7167752957309546E+000                  7.0999999999986108E-001                  2.8733434130929736E-005                  2.6997126656600773E-001                  3.4468833607861444E-003                  1.0103427409336064E-003                  9.3805276451495393E-003                  2.0850244238750362E-003                  4.0772218292556761E-003                  1.3556465020323118E-002                  5.1547268052044067E-003                 -5.8302428503277539E+045                 -8.1943919449047103E-011                  2.2721092607043470E-013                                        0                                        3 
